ChannelNumber,ElectrodeName,Hemisphere,PlannedLocation,X_coordinate,Y_coordinate,Z_coordinate,MatterType,DKT+WhiteMatter_Atlas,Destrieux_Atlas
1,LAMY1,Left,Amygdala,148,136,137,G,Left-Amygdala,Left-Amygdala
2,LAMY2,Left,Amygdala,153,136,139,G,Left-Amygdala,Left-Amygdala
3,LAMY3,Left,Amygdala,158,136,140,G,Left-Amygdala,Left-Amygdala
4,LAMY4,Left,Amygdala,162,136,142,W,wm-lh-temporalpole,Left-Cerebral-White-Matter
5,LAMY5,Left,Amygdala,168,136,142,W,wm-lh-temporalpole,Left-Cerebral-White-Matter
6,LAMY6,Left,Amygdala,172,136,144,W,wm-lh-temporalpole,Left-Cerebral-White-Matter
7,LAMY7,Left,Amygdala,177,136,146,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
8,LAMY8,Left,Amygdala,182,136,147,G,ctx-lh-middletemporal,ctx_lh_Pole_temporal
9,LAMY9,Left,Amygdala,186,136,148,OOB,Unknown,Unknown
10,LAMY10,Left,Amygdala,191,136,150,OOB,Unknown,Unknown
11,LHH1,Left,HippocampusHead,149,135,130,G,Left-Hippocampus,Left-Hippocampus
12,LHH2,Left,HippocampusHead,154,135,131,G,Left-Amygdala,Left-Amygdala
13,LHH3,Left,HippocampusHead,158,136,132,G,Left-Amygdala,Left-Amygdala
14,LHH4,Left,HippocampusHead,164,136,132,G,Left-Inf-Lat-Vent,Left-Inf-Lat-Vent
15,LHH5,Left,HippocampusHead,169,137,133,W,wm-lh-inferiortemporal,Left-Cerebral-White-Matter
16,LHH6,Left,HippocampusHead,173,137,134,G,ctx-lh-inferiortemporal,ctx_lh_S_temporal_inf
17,LHH7,Left,HippocampusHead,178,137,134,G,ctx-lh-middletemporal,ctx_lh_G_temporal_middle
18,LHH8,Left,HippocampusHead,184,137,135,G,ctx-lh-middletemporal,ctx_lh_G_temporal_middle
19,LHH9,Left,HippocampusHead,188,137,136,OOB,Unknown,Unknown
20,LHH10,Left,HippocampusHead,193,138,136,OOB,Unknown,Unknown
21,LHT1,Left,HippocampusTail,152,143,125,W,wm-lh-parahippocampal,Left-Cerebral-White-Matter
22,LHT2,Left,HippocampusTail,157,142,126,G,Left-Hippocampus,Left-Hippocampus
23,LHT3,Left,HippocampusTail,162,142,126,G,ctx-lh-entorhinal,ctx_lh_G_oc-temp_med-Parahip
24,LHT4,Left,HippocampusTail,167,142,126,W,wm-lh-fusiform,Left-Cerebral-White-Matter
25,LHT5,Left,HippocampusTail,172,142,126,W,wm-lh-inferiortemporal,Left-Cerebral-White-Matter
26,LHT6,Left,HippocampusTail,177,142,126,G,ctx-lh-middletemporal,ctx_lh_S_temporal_inf
